source_name,organization,category,keywords,reference_urls,source_type,access,priority,notes
Ad Context Protocol (AdCP),AdCP,Agentic advertising / protocol,ad context protocol (adcp); adcp; agentic advertising / protocol; agentic advertising; agentic media buying and selling; media products; audiences; campaigns; auctions; protocol concepts; ai agents; agent workflows; agent tools; ad context protocol; agentic advertising protocol,https://docs.adcontextprotocol.org/; https://docs.adcontextprotocol.org/llms.txt,llms.txt; MCP; Markdown,Public,P0,"Primary source for agentic advertising / AdCP. llms.txt is a multi-version HUB (verified 3 Sep 2026): its flat entries are the ARCHIVED 2.5 release; current docs sit behind per-version sub-indexes (/_llms/3-1.md, nesting /_llms/3-1/protocol.md; 3.2-beta and 3.0 alongside). Resolve the current version from a stable path redirect (docs.adcontextprotocol.org/docs/media-buy -> /dist/docs/<build>/...), ground only in that version's sub-index, and state the AdCP version + build in the answer. Never cite archived or beta pages unless asked. See resource-map.md, hub indexes."
OpenRTB 2.x,IAB Tech Lab,Standards / programmatic,openrtb 2.x; iab tech lab; standards / programmatic; programmatic standards; bid requests/responses; auctions; impressions; device/user/site/app objects; extensions; iab; openrtb; adtech standards; rtb; bid request; bid response,https://github.com/InteractiveAdvertisingBureau/openrtb2.x,GitHub; Markdown,Public,P0,Canonical machine-readable foundation for OpenRTB 2.x.
OpenRTB 3.x,IAB Tech Lab,Standards / programmatic,openrtb 3.x; iab tech lab; standards / programmatic; programmatic standards; openrtb 3; adcom-based transactions; supply chain; protocol evolution; iab; openrtb; adtech standards; rtb; bid request; bid response; supply path; spo; ads.txt; sellers.json; schain,https://github.com/InteractiveAdvertisingBureau/openrtb,GitHub; Markdown,Public,P0,Use alongside AdCOM; active standards work.
AdCOM,IAB Tech Lab,Standards / programmatic,adcom; iab tech lab; standards / programmatic; programmatic standards; advertising common object model; media objects; creative/media definitions; iab; openrtb; adtech standards,https://github.com/InteractiveAdvertisingBureau/AdCOM,GitHub; Markdown,Public,P0,Core companion to OpenRTB 3.
SupplyChain Object,IAB Tech Lab,Standards / supply transparency,supplychain object; iab tech lab; standards / supply transparency; programmatic standards; schain; intermediaries; supply path transparency; iab; openrtb; adtech standards; supply path; supply chain; spo; ads.txt; sellers.json,https://github.com/InteractiveAdvertisingBureau/openrtb/blob/main/supplychainobject.md; https://github.com/InteractiveAdvertisingBureau/openrtb,GitHub; Markdown,Public,P0,High-value for SPO and supply-path reasoning.
Supply-Chain Validation,IAB Tech Lab,Standards / supply transparency,supply-chain validation; iab tech lab; standards / supply transparency; programmatic standards; ads.txt; app-ads.txt; sellers.json; iab; openrtb; adtech standards; supply path; supply chain; spo; schain,https://github.com/InteractiveAdvertisingBureau/Supply-Chain-Validation,GitHub; Markdown,Public,P0,Useful for ads.txt/sellers.json validation agents.
Global Privacy Platform (GPP),IAB Tech Lab,Privacy / consent standard,global privacy platform (gpp); iab tech lab; privacy / consent standard; privacy / consent; gpp string; consent sections; cmp interfaces; privacy signals; iab; openrtb; programmatic standards; adtech standards; privacy; consent; cmp; tcf; gpp,https://github.com/InteractiveAdvertisingBureau/Global-Privacy-Platform,GitHub; API; Markdown,Public,P0,Authoritative source for GPP semantics and APIs.
Transparency & Consent Framework (TCF),IAB Tech Lab,Privacy / consent standard,transparency & consent framework (tcf); iab tech lab; privacy / consent standard; privacy / consent; tcf v2.x; consent strings; purposes; vendors; cmp api; iab; openrtb; programmatic standards; adtech standards; privacy; consent; cmp; tcf; gpp,https://github.com/InteractiveAdvertisingBureau/GDPR-Transparency-and-Consent-Framework,GitHub; API; Markdown,Public,P0,Authoritative technical TCF reference.
VAST,IAB Tech Lab,Video advertising standard,vast; iab tech lab; video advertising standard; video / ctv; video ad serving; vast xml; tracking; macros; mezzanine/interactive video; iab; openrtb; programmatic standards; adtech standards; ctv; connected tv; streaming; video advertising,https://github.com/InteractiveAdvertisingBureau/vast,GitHub; Markdown,Public,P0,Primary video-ad serving standard source.
Open Measurement SDK / JS Clients,IAB Tech Lab,Measurement standard,open measurement sdk / js clients; iab tech lab; measurement standard; measurement / attribution; om sdk; viewability; verification scripts; measurement interfaces; iab; openrtb; programmatic standards; adtech standards; measurement; attribution; media quality,https://github.com/InteractiveAdvertisingBureau/Open-Measurement-JSClients,GitHub; API; Markdown,Public,P0,Useful for viewability and verification implementation knowledge.
SIMID,IAB Tech Lab,Interactive video standard,simid; iab tech lab; interactive video standard; video / ctv; secure interactive media interface definition; interactive video creatives; iab; openrtb; programmatic standards; adtech standards; ctv; connected tv; streaming; video advertising,https://github.com/InteractiveAdvertisingBureau/SIMID,GitHub; Markdown,Public,P1,Specialist but authoritative.
Data Subject Rights (DSR),IAB Tech Lab,Privacy / rights standard,data subject rights (dsr); iab tech lab; privacy / rights standard; privacy / consent; data subject rights signaling; privacy requests; interoperability; iab; openrtb; programmatic standards; adtech standards; privacy; consent; cmp; tcf; gpp,https://github.com/InteractiveAdvertisingBureau/Data-Subject-Rights,GitHub; Markdown,Public,P1,Useful privacy-interoperability reference.
